,positive_ionizable,halogen_F,halogen_Br,aromatic_ring,halogen_Cl,nitro,negative_ionizable,sulfone,nitrile,methyl,amine_primary,aromatic_S,aromatic_N,amine_tertiary,alcohol,methylene,terminal_alkyne,thiophene,aromatic_O,hbond_acceptor,phenyl,benzene,carboxylic_acid,quaternary_carbon,triple_bond,hbond_donor,ether,amide,ester,double_bond,vinyl,amine_secondary,cyclohexane,methine,pyridine,cyclopentane,allyl,cyclopropane,phenol,ketone
hbond_acceptor,0.08447549257886001,-0.08696790495791307,-0.139547952592233,-0.2797550284588487,-0.043421060434816215,0.08547308923472702,0.08502129833794571,0.25141060271955207,0.23189258538419796,0.17556098474294207,-0.16287458222724005,-0.05780147444110735,-0.3977647676839699,0.49344029929222777,0.04779384389494059,0.17334066512673807,-0.022266585962920287,-0.019099061728250908,-0.18263236629382276,0.9999999999999999,0.027459746907331432,0.027090847005338682,0.19444826561352566,-0.0019378282637519167,-0.0691849732127555,-0.13924305708377183,0.23910961335023323,0.31743322837213134,0.34001679734532886,-0.09549557200613834,-0.09306809242566581,-0.16280970926251456,-0.0780670456473655,0.014766856260645068,-0.09853270779040223,-0.03933155382290865,-0.0937159018155855,-0.029231305269490665,-0.04757722823076918,0.047042882515647366
phenyl,0.09206376167114878,0.06706635314643854,0.11480108010939953,0.5581731518010796,0.12419081912729434,0.10060122048906274,0.08605589010088668,0.04751800367223947,0.07703340152848967,-0.010158244222700554,0.0004575347148899575,-0.05538230716212694,-0.22047650944935768,-0.0668332622046156,0.0019392465674960893,-0.30663034444924137,-0.0687785354721411,-0.058069314574902796,0.020589522540329388,0.027459746907331432,1.0,0.9835797116900957,0.015699425928740518,-0.18253353090309746,-0.07437430416930481,-0.0014395307746106769,0.0434365402103477,0.028887150411103183,-0.0573195657313411,-0.05614165889342175,-0.059930722495977244,-0.01537507053206622,-0.15131722694202548,-0.2405637713315821,-0.2491418007530483,-0.08012390692520668,-0.06486934891367056,-0.12387849697553134,0.09873505817517256,0.06375320411960479
benzene,0.09234974212241037,0.06758812196195375,0.11478954213052817,0.5574945352410343,0.12525045224939382,0.1002883079051869,0.08650489673238852,0.04725934949131923,0.07748067545491497,-0.009345369191161213,2.664076707963769e-05,-0.056064902463462546,-0.22124009471827313,-0.06720988492388251,0.0030410207413522983,-0.3074688481384429,-0.0693575077321519,-0.05871818616352073,0.019712754020503744,0.02709084700533868,0.9835797116900958,1.0,0.017155899900712892,-0.18170463887436325,-0.07522346093006461,-0.0009096267045770999,0.04296033195190304,0.030047938631832683,-0.05842706495237827,-0.05488277740767353,-0.058983104220167906,-0.014756384599676315,-0.15243695346097388,-0.24187598529173415,-0.24930037440190433,-0.08028850157678559,-0.0632181857974993,-0.12446517029713437,0.09945713214277017,0.06362078308567196
carboxylic_acid,0.048473467304977466,-0.05139806043404649,-0.03742811911177248,-0.044251103375414595,-0.0013815233715649118,0.05157695845795545,0.04657430712609563,0.02053800673828739,-0.10798259975476923,-0.02361147833170682,-0.06793009192858179,-0.022946667819289834,-0.049083523156073866,-0.03678357117208489,0.6027114997146598,-0.12802693488398026,-0.022461168532081754,0.009414384483778298,-0.04422213239085894,0.19444826561352563,0.015699425928740515,0.017155899900712892,1.0,-0.04277347911373992,-0.013827684892136123,0.3168357470808278,-0.11716628602869011,-0.08486886380777243,-0.09018391151416302,0.031203565257637737,0.02408658825789279,-0.10904547074609225,0.03287147874138783,0.061470173991507844,-0.011011681723019875,0.029247269372889583,0.03273448211901885,0.0013981724887858222,-0.04747721518920359,0.058800786763600975
quaternary_carbon,0.0008099625461972179,0.006744031386482052,-0.05800785719372459,-0.3107322293141534,-0.06461548608905993,-0.003367723206299276,-0.005421816331323279,-0.021947490456529658,0.03191079575706928,0.09891429289454547,-0.021128267241941053,-0.05985751437651859,-0.13077693696353226,0.013716364952522079,0.042949274929155005,0.26559935567610043,0.09480106954897301,-0.04024916922406369,-0.07676002313352077,-0.0019378282637519167,-0.18253353090309749,-0.18170463887436325,-0.04277347911373992,1.0,0.06789314180455519,0.020134625631921078,0.005728319388386286,0.030472023958999127,0.0284362626712539,-0.05292984589905351,-0.047897228011754084,0.0025190912717050155,0.06537558763479814,-0.08971628062404653,-0.09318452176248006,0.042061462075667015,-0.030312167713807833,0.20067942943500203,-0.04231747264687482,-0.006136616408821936
triple_bond,-0.014658601968638269,-0.012785739712951084,-0.03183971159389784,-0.12456091171933252,-0.02578822690656249,-0.015602010684946141,-0.013833819695547003,-0.02026796494489008,-0.04747702872275165,-0.03669700569352446,-0.009659754010867903,-0.013461053597107149,-0.07524130253028766,-0.0009355918451378125,-0.01949014517443571,0.018794600030584377,0.6909617024966495,-0.006629040805832633,-0.027390752328965665,-0.06918497321275552,-0.07437430416930481,-0.07522346093006461,-0.013827684892136122,0.06789314180455519,1.0,-0.035997862065522024,-0.04513483448119358,-0.006361027780276451,-0.00506661335332215,-0.032440475543544046,-0.03296869806999119,-0.017411388435822423,0.05375227397309732,0.07788497410717622,-0.014457766016288131,-0.02413306656287095,-0.022462825922276802,0.049918724281964866,-0.013560633540235295,-0.02487999839523192
hbond_donor,-0.005239302818298432,-0.14026270833101476,-0.11683200643575514,-0.13450006065734083,-0.06119265570835231,0.00804296268162649,-0.0027074739155696754,-0.01665976470375671,-0.2097409680008331,-0.06493130515617254,0.2637370241260207,-0.06311371615306305,-0.14890153785781463,-0.25406246618040607,0.5424494840465558,-4.1897811129699434e-05,-0.05079133178592198,-0.04251280087922847,-0.07503914479479559,-0.13924305708377183,-0.0014395307746106769,-0.0009096267045770998,0.3168357470808278,0.020134625631921078,-0.035997862065522024,1.0,0.039030275532485816,0.11189583064013031,-0.08002893807212227,-0.06624457800418121,-0.06113755915342803,0.5779220557692385,0.07605054249798196,0.115326460109434,-0.01191332469430713,0.06330537914898102,-0.04453944329983539,-0.031167451840584434,0.15531710869450926,-0.07705316384763025
ether,-0.005526529936878078,0.024121077033657116,-0.08029020320977664,-0.08715200982729973,0.00642600868047235,-0.010178988038502574,-0.012652653857260969,-0.041167519177123565,-0.07886050749359953,0.03679101815723833,-0.09867929203514536,-0.06725938644016809,-0.11824108352222676,-0.03540791342511411,0.18569855621367615,0.1029418769938919,-0.03797908742370819,-0.048085300493502854,-0.04889383258811061,0.23910961335023323,0.0434365402103477,0.04296033195190304,-0.11716628602869011,0.005728319388386286,-0.04513483448119358,0.03903027553248582,1.0,-0.037371184970396695,-0.04930505621319034,-0.03228948469226093,-0.029581770934576406,-0.0584085811254648,-0.027791269116055155,0.0006290157814067373,-0.036477112156781906,-0.034167899661257446,-0.04099379795766077,-0.05165228381969775,0.1713018979348793,-0.004285755901649487
amide,-0.10756876147050427,-0.07526246100463996,-0.051269096687078006,-0.20233441351187356,-0.035882058583650914,-0.10142049449786084,-0.10585505141331672,-0.07461394262442286,0.0285846283862641,0.025007527583355865,-0.014689265702565563,-0.0032371951875411484,-0.33336192985273155,0.3863935389370603,-0.030187693565722876,0.19888672765758003,0.04476093180592023,0.00812918488008449,-0.15160465308401283,0.3174332283721314,0.02888715041110318,0.03004793863183268,-0.08486886380777243,0.030472023958999124,-0.006361027780276451,0.1118958306401303,-0.0373711849703967,1.0,-0.1973563367836924,-0.12605915957614136,-0.1118498334927273,0.20219907006080384,0.032855243883004426,0.14371549334237518,-0.09352066034528392,0.04430699595461075,-0.0817768776929223,0.05381641518625738,-0.002965578719258075,-0.1825743349329959
ester,-0.02119578003781392,-0.02912305667171904,-0.03315116450496828,-0.09779604926327379,-0.0158414162579217,-0.013554603980794508,-0.012468674425463103,-0.006669051531327409,-0.04240516059068023,0.23138505612562002,-0.011085196181165565,0.02801607749844015,-0.05138005699893186,-0.0592863130274336,-0.12666938731868463,0.02840456148265903,-0.017891985563766845,0.03187794737676888,-0.029784035558683006,0.34001679734532886,-0.0573195657313411,-0.05842706495237827,-0.09018391151416304,0.028436262671253904,-0.005066613353322151,-0.08002893807212227,-0.04930505621319035,-0.19735633678369238,0.9999999999999999,0.00034630543314741023,-0.008100249090425943,0.020837840317270293,-0.002969054411901598,0.006367041055461286,-0.039824192216408996,0.0183234379926095,-0.006707670260160898,-0.014364645372158714,-0.026913147856327934,-0.0049918802700086645
double_bond,-0.009355666736457548,-0.01929475366347509,-0.02675400702263377,-0.07410145184400853,-0.015396988447541166,-0.017008092676892392,-0.02033243902800573,0.04476963416279076,0.010614069577389112,-0.07477521424950954,-0.028904388687933665,-0.011266551175840932,-0.011299803576996111,-0.09982645165463531,0.021155774608979064,0.024805332216771638,-0.023401802143458206,-0.008235825853111492,0.037825586841064116,-0.09549557200613834,-0.05614165889342175,-0.05488277740767352,0.03120356525763774,-0.05292984589905351,-0.03244047554354405,-0.06624457800418121,-0.032289484692260936,-0.12605915957614133,0.00034630543314741023,0.9999999999999999,0.8842251872988186,-0.08981623919944705,0.013864185360132649,0.2581993455037411,-0.023626443110129448,0.04123518581997366,0.6956991561729279,0.0122947479221902,-0.02022296955690329,0.01598097028926755
vinyl,-0.002198373364398742,-0.03010071164197849,-0.03292692094786003,-0.08137424484743046,-0.022130376511395083,-0.014180078394818803,-0.01582510638207641,0.04758407944682116,0.014669474941291446,-0.08067905968496097,-0.03137980401864073,-0.009540885392944766,-0.024386985417320126,-0.09201472081802929,0.022692874989875222,0.03140078199712122,-0.023832050168855867,-0.008130239052727166,0.021141767018370214,-0.09306809242566583,-0.059930722495977244,-0.05898310422016791,0.02408658825789279,-0.047897228011754084,-0.03296869806999119,-0.06113755915342803,-0.029581770934576403,-0.1118498334927273,-0.008100249090425943,0.8842251872988186,1.0,-0.08393829873463793,0.019622010871810626,0.2801472141878136,-0.01708254005405725,0.04716220154585457,0.6537584286456966,0.019348693630889587,-0.013468722207370557,0.010341968995235384
amine_secondary,-0.04195016042028186,-0.07380775350261971,-0.056177632653968135,-0.08180176427533567,-0.05353625437576368,-0.03561228612988551,-0.03633069938111745,-0.07466967103551968,-0.07905880019216886,0.018909192280397582,-0.10476578826348844,-0.001868104523485152,-0.10396931917417089,-0.29982923041335846,-0.14214231749252607,0.07303300707260262,-0.010508438217389598,-0.01829142398800213,-0.0504777342258842,-0.16280970926251456,-0.015375070532066219,-0.014756384599676316,-0.10904547074609225,0.0025190912717050155,-0.017411388435822427,0.5779220557692385,-0.058408581125464806,0.20219907006080387,0.020837840317270293,-0.08981623919944705,-0.08393829873463793,0.9999999999999998,0.025512794451757685,0.08508111343140229,0.005814343483546622,0.026828879699602716,-0.060935376214144216,-0.00788209296910579,-0.038271988937694214,-0.09784468340081236
cyclohexane,-0.035465617173251425,0.009768130829066881,-0.05423674134605216,-0.23532064497604238,-0.050006505950783556,-0.029263750442010406,-0.029983357838636624,-0.019616668293433993,-0.06182452094673617,-0.11743493821982717,0.05735996623481488,-0.023734159863183158,-0.06951134792418895,-0.06239198710530195,0.04797094988222644,0.36247264632605297,0.06403444538038675,-0.009721392548934253,-0.03151137305510546,-0.07806704564736548,-0.15131722694202548,-0.15243695346097388,0.03287147874138783,0.06537558763479814,0.05375227397309733,0.07605054249798196,-0.027791269116055152,0.032855243883004426,-0.0029690544119015984,0.013864185360132649,0.019622010871810626,0.025512794451757685,0.9999999999999999,0.32843879846521506,-0.08993006250184667,0.14935849428552947,-0.02634177309224726,-0.029277310271943666,-0.008890826474969048,-0.017957440603184178
methine,-0.029743843140688845,-0.0764866657426613,-0.12301466932960244,-0.4600106693911727,-0.128592663275151,-0.029353106261849508,-0.03619668689138702,-0.04560081723183205,-0.1954637338200076,-0.08498857936901219,-0.005548735212332453,-0.10111075936668475,-0.20958798369866183,0.12803403783675024,0.09886079215987528,0.36094442651745906,0.11906819044172769,-0.050879997836030325,-0.08651250250470655,0.014766856260645068,-0.2405637713315821,-0.24187598529173415,0.061470173991507844,-0.08971628062404653,0.07788497410717622,0.11532646010943398,0.0006290157814067373,0.14371549334237518,0.006367041055461285,0.2581993455037411,0.2801472141878136,0.08508111343140229,0.32843879846521506,1.0,-0.20026748370358444,0.31523963482300144,0.1695908909360152,0.2092679772960131,-0.08583227165106357,-0.09133509038198884
pyridine,-0.047156148372047624,0.022362803251743533,0.09532196130771645,0.2613090452227111,0.01835380080805453,-0.0464826669343959,-0.04049989306808856,-0.034183564945234134,0.07133405417481208,-0.1078233951163148,-0.002526346556249378,-0.06071122761969614,0.16247693629433368,-0.026593361310994355,-0.01270417227115577,-0.20580279626447515,-0.011845927877722583,-0.03905576867538301,-0.042314068073748205,-0.09853270779040223,-0.2491418007530483,-0.24930037440190436,-0.011011681723019877,-0.09318452176248007,-0.014457766016288131,-0.01191332469430713,-0.0364771121567819,-0.09352066034528393,-0.039824192216409,-0.023626443110129448,-0.01708254005405725,0.005814343483546622,-0.08993006250184667,-0.20026748370358444,1.0,-0.03888303843014183,-0.0004890145750944466,-0.04031555379413889,0.05851437194927271,-0.003371402228124632
cyclopentane,-0.015620835319396831,-0.01816724120894545,-0.0428741648649032,-0.1522600286419827,-0.03157174564236545,-0.01377322780551534,-0.015106455134265916,-0.016671772833429976,-0.0369795826705581,-0.09746899350155118,0.04214261345079684,-0.030619468891425625,-0.08303983788544228,-0.04561362298020113,0.03708212450600274,0.14269281613732926,-0.01656860070348891,-0.019625688257636997,-0.020597240721565678,-0.03933155382290865,-0.0801239069252067,-0.08028850157678558,0.02924726937288958,0.04206146207566701,-0.02413306656287095,0.06330537914898102,-0.034167899661257446,0.04430699595461076,0.018323437992609496,0.04123518581997366,0.04716220154585457,0.026828879699602712,0.14935849428552947,0.31523963482300144,-0.03888303843014182,1.0,-0.023675926194119276,0.02812884122970266,-0.019028254363649022,-0.02327547042236418
allyl,-0.0027837534897691015,-0.004979278008153443,-0.03207805066047387,-0.08735637907944811,-0.03203094036660868,-0.015447575914465135,-0.01420743179375258,-0.020546602028630092,-0.008947849735854387,-0.06286105217986807,-0.016856279746087454,-0.011427721667519559,-0.03690194012915619,-0.06248793035932656,0.012936501179417782,0.07318625858646349,-0.019974956768990557,-0.0006862183197161568,0.006868927565130503,-0.09371590181558549,-0.06486934891367058,-0.0632181857974993,0.032734482119018846,-0.030312167713807833,-0.022462825922276802,-0.044539443299835384,-0.04099379795766077,-0.08177687769292229,-0.006707670260160899,0.695699156172928,0.6537584286456966,-0.060935376214144216,-0.02634177309224726,0.1695908909360152,-0.0004890145750944466,-0.023675926194119273,1.0,0.04710390905440082,-0.019563346008762895,-0.010853700985953289
cyclopropane,-0.02014489841168333,-0.026976482256720027,-0.0487432308426041,-0.1797316969338586,-0.021086280092347687,-0.02344937137157587,-0.019115203715497683,-0.016571870445787767,-0.029132821212512174,-0.066206636020517,-0.014773980744901443,-0.03315826084767014,-0.06987667047728433,0.019200199526776054,-0.020589425805921813,0.11112967971328118,0.062067851107543086,-0.0243921078048171,-0.00855942805845616,-0.02923130526949066,-0.12387849697553133,-0.12446517029713437,0.0013981724887858222,0.20067942943500205,0.049918724281964866,-0.031167451840584438,-0.05165228381969774,0.05381641518625737,-0.014364645372158714,0.0122947479221902,0.019348693630889587,-0.007882092969105789,-0.029277310271943666,0.2092679772960131,-0.04031555379413889,0.02812884122970266,0.047103909054400823,1.0,-0.0346371524486823,-0.03436294215531394
phenol,-0.006032377657025257,-0.03342307053859796,-0.02057548336771651,0.08398006903329752,0.04091526490855812,-0.003919481053497612,-0.003430738148297419,-0.00779920874489468,-0.0286489779636293,-0.050142471805763304,-0.04242357052168154,-0.02366686929753834,-0.02683659370937326,-0.014168204737219863,0.2827421698628962,-0.051348880557578615,-0.01805132137452742,-0.020017752762953117,-0.004197109520383653,-0.04757722823076918,0.09873505817517257,0.09945713214277016,-0.0474772151892036,-0.04231747264687481,-0.013560633540235295,0.1553171086945093,0.17130189793487932,-0.002965578719258075,-0.026913147856327937,-0.02022296955690329,-0.013468722207370559,-0.038271988937694214,-0.008890826474969048,-0.08583227165106357,0.05851437194927271,-0.019028254363649022,-0.019563346008762895,-0.0346371524486823,0.9999999999999999,8.356180268349262e-06
ketone,0.010280769908349233,0.01643607343192704,-0.010590363769629784,0.04933776964646845,-0.006414849779635575,0.001773742211178734,0.008797300484857842,-0.010536889220656797,-0.00848879845060012,0.0178417046175731,-0.02455938407128298,0.017096876457616858,-0.025970399898201345,-0.13418149862771633,0.01149430617910158,-0.10180041774814355,-0.027426334914631686,0.013505452516185559,-0.013527593458982986,0.04704288251564737,0.06375320411960479,0.06362078308567196,0.058800786763600975,-0.0061366164088219365,-0.02487999839523192,-0.07705316384763025,-0.0042857559016494864,-0.1825743349329959,-0.0049918802700086645,0.01598097028926755,0.010341968995235384,-0.09784468340081237,-0.017957440603184178,-0.09133509038198884,-0.0033714022281246324,-0.02327547042236418,-0.01085370098595329,-0.03436294215531395,8.356180268349262e-06,1.0
